time,epoch,step,loss,rest,state,clean,lr,peak_gb
1783933427.5861914,0,50,0.21235141158103943,0.21235141158103943,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783933548.414833,0,100,0.20603027939796448,0.20603027939796448,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783933669.8251743,0,150,0.2908421456813812,0.2908421456813812,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783933790.7551703,0,200,0.1876007318496704,0.1876007318496704,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783933911.6765637,0,250,0.19865171611309052,0.19865171611309052,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934032.9452016,0,300,0.2491157501935959,0.2491157501935959,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934153.7645242,0,350,0.19388440251350403,0.19388440251350403,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934275.1953425,0,400,0.239181786775589,0.239181786775589,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934396.4099681,0,450,0.17189547419548035,0.17189547419548035,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934517.5045636,0,500,0.1766931265592575,0.1766931265592575,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934638.4905822,0,550,0.16931751370429993,0.16931751370429993,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934718.3221812,0,600,0.16958501935005188,0.16958501935005188,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934778.405592,0,650,0.17150507867336273,0.17150507867336273,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934838.5120795,0,700,0.17940430343151093,0.17940430343151093,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934898.3282218,0,750,0.15501175820827484,0.15501175820827484,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783934958.2595007,0,800,0.1828586459159851,0.1828586459159851,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935043.8982365,0,850,0.18430577218532562,0.18430577218532562,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935163.6344817,0,900,0.18960556387901306,0.18960556387901306,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935283.9167364,0,950,0.18554989993572235,0.18554989993572235,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935404.9524438,0,1000,0.13287097215652466,0.13287097215652466,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935491.135655,0,1050,0.19363459944725037,0.19363459944725037,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935551.0256877,0,1100,0.16150881350040436,0.16150881350040436,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935610.9418817,0,1150,0.1533333659172058,0.1533333659172058,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935671.1100614,0,1200,0.20054784417152405,0.20054784417152405,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935730.9985473,0,1250,0.1709222048521042,0.1709222048521042,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935791.0459092,0,1300,0.13475766777992249,0.13475766777992249,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935850.891613,0,1350,0.15266720950603485,0.15266720950603485,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935910.9215255,0,1400,0.13317617774009705,0.13317617774009705,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783935970.7972317,0,1450,0.19033870100975037,0.19033870100975037,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936030.7541053,0,1500,0.17442920804023743,0.17442920804023743,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936090.8210986,0,1550,0.13892585039138794,0.13892585039138794,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936150.789357,0,1600,0.13643676042556763,0.13643676042556763,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936210.859023,0,1650,0.14332327246665955,0.14332327246665955,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936270.920957,0,1700,0.15025544166564941,0.15025544166564941,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936331.1456382,0,1750,0.14146171510219574,0.14146171510219574,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936391.1646156,0,1800,0.1508917212486267,0.1508917212486267,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936451.1473522,0,1850,0.12951761484146118,0.12951761484146118,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936511.14858,0,1900,0.13286051154136658,0.13286051154136658,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936571.2296693,0,1950,0.12041111290454865,0.12041111290454865,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936631.2484384,0,2000,0.15197023749351501,0.15197023749351501,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936691.4377484,0,2050,0.10542929172515869,0.10542929172515869,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936751.3710332,0,2100,0.10016356408596039,0.10016356408596039,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936811.2488449,0,2150,0.11512815207242966,0.11512815207242966,0.0,0.0,9.999999999999998e-08,11.090512752532959
1783936873.166058,1,2200,0.08429311960935593,0.08429311960935593,0.0,0.0,1.437857142857143e-05,11.090512752532959
1783936933.104315,1,2250,0.06775211542844772,0.06775211542844772,0.0,0.0,1.437857142857143e-05,11.090512752532959
1783936993.0522778,1,2300,0.0852646753191948,0.0852646753191948,0.0,0.0,1.437857142857143e-05,11.090512752532959
1783937053.006816,1,2350,0.05729614943265915,0.05729614943265915,0.0,0.0,1.437857142857143e-05,11.090512752532959
