task,name,psnr,ssim
denoise15,0000,42.40467245889765,0.9744794964790344
denoise25,0000,40.24338334833976,0.9687772393226624
denoise50,0000,36.96400819290601,0.9561581611633301
derain,1,37.46511827346635,0.9789794087409973
dehaze,0001_0.8_0.2,33.05503349299026,0.9892780780792236
