task,name,psnr,ssim
denoise15,0000,42.40467245889765,0.9744794964790344
denoise15,0001,32.67608878561434,0.9154712557792664
denoise15,0002,36.812931333487676,0.9350342750549316
denoise15,0003,33.21981245328641,0.9209906458854675
denoise15,0004,33.02876195954013,0.9286648631095886
denoise15,0005,33.841712796303504,0.9016785025596619
denoise15,0006,34.79795363416247,0.9655094146728516
denoise15,0007,30.7657409852698,0.9626920819282532
denoise15,0008,31.16131123693799,0.9163990020751953
denoise15,0009,34.99440831884708,0.949920654296875
denoise15,0010,34.74695247235963,0.9319062232971191
denoise15,0011,35.53869012146078,0.9441911578178406
denoise15,0012,32.82197247204984,0.9445921778678894
denoise15,0013,37.34648059276076,0.956242024898529
denoise15,0014,33.518359212122945,0.9343338012695312
denoise15,0015,31.682820088460616,0.9231938719749451
denoise15,0016,34.01917479762658,0.9416336417198181
denoise15,0017,34.42938163817616,0.9322111010551453
denoise15,0018,34.17902394184316,0.9529399871826172
denoise15,0019,34.480919809238536,0.9388799667358398
denoise15,0020,35.33340502101137,0.9287412762641907
denoise15,0021,32.656851217341234,0.9201385974884033
denoise15,0022,33.389317328389325,0.9485483765602112
denoise15,0023,37.16674069854427,0.9474976658821106
denoise15,0024,33.349135427954536,0.9245133399963379
denoise15,0025,33.81785683502601,0.9217669367790222
denoise15,0026,32.00483878841253,0.9486878514289856
denoise15,0027,32.26673817427566,0.9337596893310547
denoise15,0028,34.054236567538155,0.9460067749023438
denoise15,0029,33.77797300850288,0.9457278251647949
denoise15,0030,34.85337556707924,0.9683635830879211
denoise15,0031,34.582217620104295,0.9275548458099365
denoise15,0032,37.394263301484074,0.9353877902030945
denoise15,0033,30.994632631444553,0.9557056427001953
denoise15,0034,34.512909905403426,0.9216012954711914
denoise15,0035,30.48004589210478,0.9541152119636536
denoise15,0036,32.043425878374094,0.9493532776832581
denoise15,0037,33.57981468614976,0.9613110423088074
denoise15,0038,36.85906589347047,0.9173508286476135
denoise15,0039,31.782920694760293,0.8473290801048279
denoise15,0040,33.23726221726287,0.9208293557167053
denoise15,0041,33.60365800821293,0.9165872931480408
denoise15,0042,37.28243369499832,0.9584551453590393
denoise15,0043,32.96589847495976,0.9345027804374695
denoise15,0044,34.53710199388177,0.9204662442207336
denoise15,0045,35.122818927842246,0.9485129714012146
denoise15,0046,33.21937687413745,0.9530363082885742
denoise15,0047,37.58786696527763,0.93953537940979
denoise15,0048,31.866202374610957,0.9282509684562683
denoise15,0049,31.905380281089293,0.9374384880065918
denoise15,0050,35.40316180855898,0.9051177501678467
denoise15,0051,32.039227779753695,0.9267805218696594
denoise15,0052,33.46807127692208,0.9290298819541931
denoise15,0053,35.765653199050455,0.9138261675834656
denoise15,0054,35.066674911458826,0.8958340287208557
denoise15,0055,34.03655855652389,0.9282308220863342
denoise15,0056,32.7004556871352,0.9283414483070374
denoise15,0057,29.912742076551183,0.947039783000946
denoise15,0058,33.192216570961904,0.9401935935020447
denoise15,0059,34.58708619268158,0.8930368423461914
denoise15,0060,34.4205915491425,0.9026755690574646
denoise15,0061,35.0787684069588,0.9058731198310852
denoise15,0062,34.814083395176,0.9084860682487488
denoise15,0063,38.021085382749675,0.963193953037262
denoise15,0064,31.978583551020602,0.9490689635276794
denoise15,0065,31.730587702708213,0.908675491809845
denoise15,0066,33.421651762210864,0.9259867668151855
denoise15,0067,32.1084827938388,0.9597437977790833
denoise25,0000,40.23531612114318,0.9687990546226501
denoise25,0001,30.08436597790165,0.8625974655151367
denoise25,0002,34.636176661051195,0.9001705050468445
denoise25,0003,30.616362144862983,0.8679690957069397
denoise25,0004,30.306389102110998,0.8765705227851868
denoise25,0005,31.4009126119373,0.8459758162498474
denoise25,0006,31.914460990911255,0.9446649551391602
denoise25,0007,27.567479691448497,0.9256275296211243
denoise25,0008,28.248992964282223,0.84124755859375
denoise25,0009,32.28366055992742,0.918597936630249
denoise25,0010,32.16889843948711,0.9015441536903381
denoise25,0011,32.84449243945008,0.9053651690483093
denoise25,0012,29.897779629338864,0.8962750434875488
denoise25,0013,35.003745329346955,0.9323239922523499
denoise25,0014,30.808549508341745,0.8854807019233704
denoise25,0015,28.71250088886567,0.8596479296684265
denoise25,0016,31.29774446732597,0.8984645009040833
